id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,backup_key_path,index_type,throughput,init_table_size,zipf_constant,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,fitness_of_dataset,fitness_of_bulkload,fitness_of_insert,error_bound,table_size,test_suite
20241126185644,1,0,0,0,0,datasets/covid,,btreeolc,5336062,100000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126185731,0,1,0,0,0,datasets/covid,,btreeolc,11142293,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126185751,1,0,0,0,0,datasets/covid,,btreeolc,10347908,100000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126185834,0,1,0,0,0,datasets/covid,,btreeolc,19232490,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126185845,1,0,0,0,0,datasets/covid,,btreeolc,18992199,100000000,0.99,0,16,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,42
20241126185925,0,1,0,0,0,datasets/fb-1,,btreeolc,12965837,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190153,1,0,0,0,0,datasets/fb-1,,btreeolc,1346117,200000000,0.99,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190233,0,1,0,0,0,datasets/fb-1,,btreeolc,12986954,200000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190347,1,0,0,0,0,datasets/fb-1,,btreeolc,2706375,200000000,0.99,0,2,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190426,0,1,0,0,0,datasets/fb-1,,btreeolc,13035290,200000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190503,1,0,0,0,0,datasets/fb-1,,btreeolc,5275813,200000000,0.99,0,4,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190543,0,1,0,0,0,datasets/fb-1,,btreeolc,12932179,200000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
20241126190602,1,0,0,0,0,datasets/fb-1,,btreeolc,10204727,200000000,0.99,0,8,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,0,0,64,200000000,10
